place_id,place_name,coords,geometry
{'place_id': '07d9e646c9088003'},Northcliff Highsights,"[27.965700669329365, -26.146777588042752, 27.965700669329365, -26.146777588042752]",POINT (27.965700669329365 -26.146777588042752)
{'place_id': '07d9d3f84a884000'},Tembisa Hospital,"[28.23802893180133, -25.982537975429647, 28.23802893180133, -25.982537975429647]",POINT (28.23802893180133 -25.982537975429647)
{'place_id': '07d9d0cf56486001'},Phalaborwa,"[31.09322166442871, -23.880104064941406, 31.09322166442871, -23.880104064941406]",POINT (31.09322166442871 -23.880104064941406)
{'place_id': '07d9e005de881001'},Constantiaberg Hockey Astro,"[18.451978460469554, -34.04067775085611, 18.451978460469554, -34.04067775085611]",POINT (18.451978460469554 -34.04067775085611)
{'place_id': 'd01f4fa8d473a7ec'},"Belfast, South Africa","[29.9704623, -25.7488676, 30.0727465, -25.6362055]",POINT (30.0216044 -25.69253655)
{'place_id': 'e3585f7892f7e963'},"Evander, South Africa","[29.0594443, -26.5250775, 29.1302937, -26.4232821]",POINT (29.094869 -26.4741798)
{'place_id': '3df576639a8863de'},"Betty's Bay, South Africa","[18.8481941, -34.3751818, 18.9717287, -34.3495941]",POINT (18.9099614 -34.36238795)
{'place_id': 'c7615ce770e08177'},"Greyton, South Africa","[19.5713174, -34.0866241, 19.6339558, -34.0317063]",POINT (19.6026366 -34.0591652)
{'place_id': '22e0407001eb86c2'},"Bela-Bela, South Africa","[28.2679943, -24.9273913, 28.3479594, -24.8673827]",POINT (28.307976850000003 -24.897387000000002)
{'place_id': '07d9d282e3088000'},Muizenberg Flea Market,"[18.48040848620249, -34.102981917653054, 18.48040848620249, -34.102981917653054]",POINT (18.48040848620249 -34.102981917653054)
{'place_id': '07d9dbf5df480001'},The Fireplace Roadhouse,"[28.18744600375978, -26.187129245314537, 28.18744600375978, -26.187129245314537]",POINT (28.18744600375978 -26.187129245314537)
"{'coordinates': {'type': 'Point', 'coordinates': [28.37714764, -26.16677644]}, 'place_id': 'e296e25b0bb07e75'}","Chief Albert Lithuli Park, South Africa","[28.3695587, -26.1672842, 28.396657, -26.1485775]",POINT (28.383107850000002 -26.15793085)
{'place_id': '3b049a61f5bdff23'},"Manyatseng, South Africa","[27.4507872, -29.1801773, 27.4776382, -29.1588515]",POINT (27.4642127 -29.1695144)
{'place_id': '1f68299f02be57d7'},"Richmond, South Africa","[30.2631425, -30.0296483, 30.5142678, -29.7264743]",POINT (30.38870515 -29.8780613)
{'place_id': 'dabc53ec26c94024'},"Pacaltsdorp, South Africa","[22.4198055, -34.0284124, 22.4841922, -33.9859448]",POINT (22.45199885 -34.0071786)
"{'place_id': 'd98aef293ae7311d', 'coordinates': {'type': 'Point', 'coordinates': [28.26200386, -26.14376695]}}","Kempton Park, South Africa","[28.1581593, -26.1689943, 28.3280005, -26.0027295]",POINT (28.2430799 -26.0858619)
{'place_id': 'b0d9395125811fe5'},"Shakaskraal, South Africa","[31.202563, -29.4557165, 31.2290411, -29.4373884]",POINT (31.21580205 -29.44655245)
{'place_id': '0f0fafba59272197'},"Umgababa, South Africa","[30.8300507, -30.1479587, 30.8473006, -30.1244552]",POINT (30.83867565 -30.136206950000002)
{'place_id': '765d3df5f4ced4db'},"Worcester, South Africa","[19.3904441, -33.7057114, 19.5020643, -33.6116101]",POINT (19.4462542 -33.658660749999996)
{'place_id': '07d9e7f44f881000'},ZAR,"[18.657346068539592, -33.913267259769256, 18.657346068539592, -33.913267259769256]",POINT (18.657346068539592 -33.913267259769256)
{'place_id': '07d9f51900884001'},Beacon Hill country estate,"[30.438551, -29.57143, 30.438551, -29.57143]",POINT (30.438551 -29.57143)
{'place_id': '20efdb2a909c7f1a'},"Jan Kempdorp, South Africa","[24.7432968, -27.9948237, 24.8619819, -27.9084533]",POINT (24.80263935 -27.9516385)
{'place_id': '07d9e533ff487001'},Department of International Relations and Cooperation,"[28.23312897235825, -25.734335263992623, 28.23312897235825, -25.734335263992623]",POINT (28.23312897235825 -25.734335263992623)
{'place_id': '7f4134417c243266'},"Matlakeng, South Africa","[27.0895842, -30.3121107, 27.123253, -30.2750973]",POINT (27.106418599999998 -30.293604000000002)
{'place_id': '07d9d97c4d485001'},The Boulders Lodge,"[28.124717482626078, -25.99705959597198, 28.124717482626078, -25.99705959597198]",POINT (28.124717482626078 -25.99705959597198)
{'place_id': '07d9cf47d6082002'},Gold reef city,"[28.3621428368115, -26.357601475749597, 28.3621428368115, -26.357601475749597]",POINT (28.3621428368115 -26.357601475749597)
{'place_id': 'af6c4e8eadac95f6'},"uMzumbe, South Africa","[30.5262722, -30.6305981, 30.5487204, -30.6120065]",POINT (30.5374963 -30.6213023)
{'place_id': '03f5f5750405c437'},"Malagazi, South Africa","[30.883141, -30.0091419, 30.9141277, -29.9879175]",POINT (30.898634350000002 -29.998529700000002)
{'place_id': '07d9cb98c2087001'},Hartbeespoort Dam,"[27.847973, -25.72439, 27.847973, -25.72439]",POINT (27.847973 -25.72439)
{'place_id': 'a35c858aec4d6d18'},"Park Rynie, South Africa","[30.7152095, -30.3476677, 30.7470845, -30.3014918]",POINT (30.731147 -30.324579749999998)
{'place_id': '341b56c77fccc290'},"Danielskuil, South Africa","[23.4859347, -28.2286313, 23.5694453, -28.1441457]",POINT (23.52769 -28.1863885)
{'place_id': '118b5c383f14c006'},Auto Pedigree Kroonstad,"[27.22979251, -27.66392492, 27.22979251, -27.66392492]",POINT (27.22979251 -27.66392492)
{'place_id': '0073649cf99ab69a'},"Ngcolosi, South Africa","[30.7433761, -29.755544, 30.8880658, -29.6675739]",POINT (30.81572095 -29.71155895)
{'place_id': 'aecda8283a7b0d23'},"Nseleni, South Africa","[32.0171815, -28.6747922, 32.0309576, -28.6572819]",POINT (32.02406955 -28.66603705)
"{'coordinates': {'type': 'Point', 'coordinates': [30.39459389, -29.59004633]}, 'place_id': '52e073e7724385c3'}","Pietermaritzburg, South Africa","[30.2563496, -29.6999989, 30.4512134, -29.5328007]",POINT (30.3537815 -29.6163998)
{'place_id': '07d9f7d1a3c85001'},Lebowakgomo,"[29.53915048207861, -24.297239260034143, 29.53915048207861, -24.297239260034143]",POINT (29.53915048207861 -24.297239260034143)
{'place_id': 'da5fde1ba8cf627c'},"Reiger Park, South Africa","[28.1905183, -26.2493707, 28.2376491, -26.2143073]",POINT (28.2140837 -26.231839)
