,0,1,2,3
0,1,0.5445705024311183,0.6190476190476191,0.5060827250608273
1,2,0.5850891410048622,0.5714285714285714,0.5547445255474452
2,3,0.5559157212317666,0.5238095238095238,0.5182481751824818
3,4,0.6045380875202593,0.6190476190476191,0.5450121654501217
4,5,0.5883306320907618,0.8095238095238095,0.48418491484184917
5,6,0.5348460291734197,0.7619047619047619,0.5036496350364964
6,7,0.580226904376013,0.7142857142857143,0.46958637469586373
7,8,0.5218800648298217,0.6666666666666666,0.48661800486618007
8,9,0.5364667747163695,0.5238095238095238,0.5231143552311436
9,10,0.5121555915721232,0.6190476190476191,0.5060827250608273
10,11,0.5526742301458671,0.6190476190476191,0.4768856447688564
11,12,0.5705024311183144,0.5714285714285714,0.51338199513382
12,13,0.5688816855753647,0.6190476190476191,0.5328467153284672
13,14,0.5672609400324149,0.42857142857142855,0.5036496350364964
14,15,0.539708265802269,0.7142857142857143,0.5328467153284672
15,16,0.5478119935170178,0.6190476190476191,0.5644768856447688
16,17,0.5623987034035657,0.6666666666666666,0.46958637469586373
17,18,0.5834683954619124,0.7142857142857143,0.5352798053527981
18,19,0.5688816855753647,0.5238095238095238,0.5012165450121655
