,0,1,2,3
0,1,0.7833333333333333,0.575,1.3583333333333334
1,2,0.65,0.7,1.35
2,6,0.8333333333333334,0.65,1.4833333333333334
3,8,0.7666666666666667,0.525,1.2916666666666667
4,9,0.7833333333333333,0.55,1.3333333333333335
5,12,0.8166666666666667,0.475,1.2916666666666665
6,13,0.6833333333333333,0.725,1.4083333333333332
7,15,0.8166666666666667,0.6,1.4166666666666665
8,16,0.55,0.725,1.275
9,17,0.7,0.725,1.4249999999999998
10,20,0.8333333333333334,0.425,1.2583333333333333
11,21,0.8166666666666667,0.575,1.3916666666666666
12,22,0.75,0.55,1.3
13,23,0.6833333333333333,0.7,1.3833333333333333
14,29,0.7666666666666667,0.5,1.2666666666666666
15,31,0.6833333333333333,0.75,1.4333333333333333
16,34,0.7666666666666667,0.5,1.2666666666666666
17,38,0.75,0.475,1.225
18,40,0.8,0.475,1.275
19,44,0.7833333333333333,0.675,1.4583333333333335
20,46,0.8333333333333334,0.75,1.5833333333333335
21,47,0.6166666666666667,0.575,1.1916666666666667
22,49,0.6666666666666666,0.55,1.2166666666666668
23,51,0.7666666666666667,0.65,1.4166666666666667
24,53,0.7166666666666667,0.575,1.2916666666666665
25,54,0.8666666666666667,0.525,1.3916666666666666
26,56,0.65,0.475,1.125
27,62,0.75,0.5,1.25
28,63,0.7833333333333333,0.5,1.2833333333333332
29,64,0.8,0.525,1.3250000000000002
30,66,0.65,0.525,1.175
31,67,0.7833333333333333,0.4,1.1833333333333333
32,73,0.75,0.5,1.25
33,75,0.7666666666666667,0.425,1.1916666666666667
34,79,0.8333333333333334,0.5,1.3333333333333335
35,81,0.7,0.475,1.1749999999999998
36,83,0.6833333333333333,0.575,1.2583333333333333
37,86,0.7833333333333333,0.575,1.3583333333333334
38,87,0.7166666666666667,0.425,1.1416666666666666
39,90,0.6666666666666666,0.6,1.2666666666666666
40,91,0.7166666666666667,0.65,1.3666666666666667
41,94,0.75,0.5,1.25
42,95,0.6666666666666666,0.45,1.1166666666666667
43,97,0.8333333333333334,0.775,1.6083333333333334
44,99,0.7,0.425,1.125
