,text,Date,geometry,author_followers,retweets,replies,likes,quote_count,Subjectivity,Polarity,Analysis,Place0,Place1,Place2,Place3
995,"Every School Has That Teacher Who Is Always on Time, Not Sick, never Misses a Period... #NotMeee",2017-10-19,POINT (28.21708905 -25.997561699999995),2978,0,0,0,0,0.5,0.25,Positive,Gauteng,Ekurhuleni,Ekurhuleni,7
996,"Cosas launches a new student led education alliance, at the YMCA in Orlando East. M.M",2017-10-19,POINT (27.875271750000007 -26.2564214),33444,1,0,1,0,0.0555555555555555,-0.0555555555555555,Negative,Gauteng,City of Johannesburg,City of Johannesburg,37
997,"Wits SRC Elections, @witssrcelection is now trending in #Johannesburg

https://t.co/jXSxhGs8QB https://t.co/wZXIgxLuU9",2017-10-19,POINT (27.968098050000002 -26.276138500000002),64158,1,0,0,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
998,#UFSShutdown Some important points from the @legalmateapp you need to know about the protest. Please be safe @UFS_SRC @safeufs @KovsieFM97 https://t.co/e9ruEN0fog,2017-10-19,POINT (26.213109600000003 -29.10658805),5048,126,0,70,7,0.0,0.0,Neutral,Free State,Mangaung,Mangaung,19
999,When Girls get married they are often forced to drop out of school; denying them the right to education.  #SWOP2017 #EndChildMarriage https://t.co/roKyDqnAuW,2017-10-19,POINT (28.06061305 -26.058708),838,4,0,1,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,106
1000,"@amliveonsafm SASCO HAS WON THE SRC ELECTIONS IN NELSON MANDELA UNIVERSITY 

CENTRAL SRC
SASCO- 8 SEATS
DASO -4 SEATS
EFF - 1 SEAT",2017-10-19,POINT (24.867961100000002 -33.827009649999994),433,0,0,0,0,0.0,0.0,Neutral,Eastern Cape,Cacadu,Kouga,9
1001,Shit I thought it’s school fees https://t.co/KYrRB3fupC,2017-10-19,POINT (28.06061305 -26.058708),10239,0,1,0,0,0.5044444444444445,0.1122222222222222,Positive,Gauteng,City of Johannesburg,City of Johannesburg,106
1002,@Nwatshinaka lol ..campus control was sitting outside the src boardroom I was there ...no such thing as being held hostage,2017-10-18,POINT (27.968098050000002 -26.276138500000002),18863,2,1,2,0,0.4,0.1,Positive,Gauteng,City of Johannesburg,City of Johannesburg,125
1003,@refilwe_sereo Hi. Tuition fee increases must be approved by the UFS Council. No decisions about an increase in tuition fees for 2018 has been made.,2017-10-18,POINT (26.213109600000003 -29.10658805),28987,0,0,0,0,0.3178571428571428,0.1428571428571428,Positive,Free State,Mangaung,Mangaung,19
1004,@loyisololo32222 Hi. Tuition fee increases must be approved by the UFS Council. No decisions about an increase in tuition fees for 2018 has been made.,2017-10-18,POINT (26.213109600000003 -29.10658805),28987,0,0,0,0,0.75,-0.4,Negative,Free State,Mangaung,Mangaung,19
1005,@epxc_ Hi. Tuition fee increases must be approved by the UFS Council. No decisions about an increase in tuition fees for 2018 has been made.,2017-10-18,POINT (26.213109600000003 -29.10658805),28987,0,0,0,0,0.0,0.0,Neutral,Free State,Mangaung,Mangaung,19
1006,@Wandile_Dlamini @UCT_news @ForestHillUCT @UCT_SRC @PasmaUct @EFFSC_UCT Your story is heartbreaking and we would like to assist ASAP. Is it possible to DM you or WhatsApp you?,2017-10-18,POINT (18.4241 -33.9249),2421,0,1,2,0,0.5,0.4,Positive,Western Cape,City of Cape Town,City of Cape Town,115
1007,"UFS to increase the fees by 12,5% in 2018...😭😭😭 
Imagine just a few days before exam resumes, the stress.

#UFSShutdown",2017-10-18,POINT (26.213109600000003 -29.10658805),18944,1,1,5,0,0.57,-0.1075,Negative,Free State,Mangaung,Mangaung,19
1008,i’ve tried to “block out” the most recent uct suicide because it’s so triggering for me but i’ve realized that i can’t keep quiet about this,2017-10-18,POINT (18.4241 -33.9249),2933,0,2,4,1,0.6000000000000001,0.7,Positive,Western Cape,City of Cape Town,City of Cape Town,115
1009,"Do those questions of ""who is minister of education etc""stil exist in school curriculums?lol gaz past exam papers wont help now #Reshuffling",2017-10-18,POINT (27.968098050000002 -26.276138500000002),2906,0,0,0,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1010,"Here's the thing... I'm against school, but I'm not against education....",2017-10-18,POINT (28.023456799999998 -26.608546500000003),94,0,0,0,0,0.5,0.4161487926136363,Positive,Gauteng,Sedibeng,Midvaal,4
1011,So the strike is on at UFS #FeesIncrease,2017-10-18,POINT (26.213109600000003 -29.10658805),17830,3,0,0,1,0.8,0.75,Positive,Free State,Mangaung,Mangaung,19
1012,@MbAhLee_N The university said it's increasing their fees with 8%,2017-10-18,POINT (26.213109600000003 -29.10658805),3940,0,1,0,0,0.5166666666666667,0.1833333333333333,Positive,Free State,Mangaung,Mangaung,19
