,tweet_id,author_followers,text,created_at,retweets,replies,likes,quote_count,place_id,place_name,mentioned_users,hashtags,emojis,urls,cleaned_text,geometry,grievances,triggers,tactics,actors,locations,weapons,eventualities,curiosities,non_protests,Subjectivity,Polarity,Analysis
33,922908728344694784,16753,"No. Free education won't lead the economy into trouble, corrupt leaders who have no vision for the future are what's destroying our country https://t.co/rSDbVsYpU4",2017-10-24 19:32:42+00:00,6,3,18,0,{'place_id': 'cc95b56a28712044'},"Centurion, South Africa",,,,https://t.co/rSDbVsYpU4,free education lead economy trouble corrupt leader vision future what's destroy country,POINT (28.1361401 -25.860880649999995),,,['Picket'],,,,,,,0.425,-0.22000000000000003,Negative
34,922871691004530694,4649,"@theNWU Law Faculty Alumni Gathering happening at @TheCapital_SA Moloko 😊

#NWU #ItAllStartsHere 

Cc @NWUPotch @NWUMafikeng @VaalNWU",2017-10-24 17:05:31+00:00,0,0,3,0,{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa","['@theNWU', '@TheCapital_SA', '@NWUPotch', '@NWUMafikeng', '@VaalNWU']","['#NWU', '#ItAllStartsHere']",['😊'],,"law faculty alumnus gather happen moloko 

 

cc",POINT (28.06061305 -26.058708),,,['Gathering'],,,,,,,0.0,0.0,Neutral
35,922869372414251010,41619,"This is why ANCYL tweet makes sense. 

Black, indigenous SAfrican student struggle the most at school. 

Can’t blanket treat them https://t.co/7k8P2Bwj7A",2017-10-24 16:56:19+00:00,3,1,2,1,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,,https://t.co/7k8P2Bwj7A,"ancyl tweet make sense 

black indigenous safrican student struggle school 

can’t blanket treat",POINT (18.4241 -33.9249),,,,['Political Party'],"['Tertiary Edu', 'School']",,,,,0.4666666666666667,0.16666666666666669,Positive
36,922855342626701313,6462,"And UFS students would never gather up in unity like this shemmm!
No wonder we've been waiting to shutdown. smh https://t.co/RVT5drRw5k",2017-10-24 16:00:34+00:00,0,0,0,0,{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa",,,,https://t.co/RVT5drRw5k,"ufs student would never gather unity like shemmm!
no wonder we've wait shutdown smh",POINT (26.213109600000003 -29.10658805),,,['Gathering'],,['Tertiary Edu'],,,,,0.0,0.0,Neutral
37,922844759126888449,4043,"The latest on the #UCTshutdown. 

Announcement on march to Parliament to be made at a meeting tonight. 

https://t.co/NopOZdMX1B",2017-10-24 15:18:30+00:00,1,1,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,['#UCTshutdown.'],,https://t.co/NopOZdMX1B,"late 

announcement march parliament make meeting tonight 

",POINT (18.4241 -33.9249),,,"['March', 'Meeting']",,,,,,,0.9,0.5,Positive
38,922840915034730496,19437,"UCT SRC, @uct_src is now trending in #CapeTown

https://t.co/n4SI8uEVB2 https://t.co/jMSnRkhQ9H",2017-10-24 15:03:14+00:00,1,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@uct_src'],['#CapeTown'],,https://t.co/n4SI8uEVB2,"uct src trend 

",POINT (18.4241 -33.9249),,,,,,,,,,0.0,0.0,Neutral
39,922837741674606592,1210,"Follow @VernacNews for updates on UCT Shutdown, on UFS Shutdown and CPUT Shutdown. https://t.co/osZ0jVc474",2017-10-24 14:50:37+00:00,2,0,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@VernacNews'],,,https://t.co/osZ0jVc474,follow update uct shutdown ufs shutdown cput shutdown,POINT (18.4241 -33.9249),,,,,,,,,,0.0,0.0,Neutral
40,922805292542423041,49276,Mass meeting of students at UCT. Vid: @okuhle_hlati https://t.co/ElNSONIEaS,2017-10-24 12:41:41+00:00,2,1,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@okuhle_hlati'],,,https://t.co/ElNSONIEaS,mass meeting student uct vid,POINT (18.4241 -33.9249),,,['Meeting'],,['Tertiary Edu'],,,,,0.0,0.0,Neutral
41,922804757378584576,2135,Hiddingh Campus is Shutdown.,2017-10-24 12:39:33+00:00,1,0,0,5,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,,,hiddingh campus shutdown,POINT (18.4241 -33.9249),,,,,"['Informal area', 'Tertiary Edu']",,,,,0.0,0.0,Neutral
42,922802552172875777,6911,This is a lie. They didn’t fucking burn down the school 😒 https://t.co/wRKmoUSN8u,2017-10-24 12:30:47+00:00,1,0,2,1,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",,,['😒'],https://t.co/wRKmoUSN8u,lie didn’t fuck burn school,POINT (18.4241 -33.9249),,,['Disrupt'],,['School'],,,,,0.5444444444444445,-0.37777777777777777,Negative
43,922798922065735680,3983,"JUST IN: UCT protesting students disrupt lectures, the fire alarm has been set off. @TheCapeArgus",2017-10-24 12:16:22+00:00,3,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TheCapeArgus'],,,,uct protest student disrupt lecture fire alarm set,POINT (18.4241 -33.9249),['Education'],,['Disrupt'],,['Tertiary Edu'],,,,,0.0,0.0,Neutral
44,922795986027732993,210,"You can’t have free education now. Our economy, infrastructure and government is not prepared. It’s a goal we should strive for, and achieve https://t.co/8y1VSp54tF",2017-10-24 12:04:42+00:00,0,0,0,0,{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa",,,,https://t.co/8y1VSp54tF,can’t free education economy infrastructure government prepare it’s goal strive achieve,POINT (27.95745755 -26.0197197),['National govt'],,,,,,,,,0.8,0.4,Positive
45,922792614235131904,210,"No one wants to pay for education. Free education would benefit all. However, not everyone agrees with methods of intimidation used by #FMF",2017-10-24 11:51:18+00:00,0,0,0,0,{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa",,['#FMF'],,,one want pay education free education would benefit however everyone agree method intimidation use,POINT (27.95745755 -26.0197197),,,,,,,,,,0.45,0.30000000000000004,Positive
