,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9319,7522916,710,SAF8264,8264,2016-10-18,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Private Security Forces (South Africa),,8,58,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,"Violent clashes erupted between student protesters and private security at the University of Cape Town (UCT), leaving a number of protesters injured and four arrested.",0,1611019297,ZAF
9321,7735727,710,SAF8263,8263,2016-10-18,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,News24 (South Africa),National,Running battles between protesters and police began at Nelson Mandela Metropolitan University (NMMU).,0,1615249507,ZAF
9322,8009280,710,SAF8265,8265,2016-10-18,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,African News Agency,National,"There were two days of running battles where police used rubber bullets, teargas and stun grenades as they clashed with students at Westville campus of UKZN.",0,1622068027,ZAF
9323,4785437,710,SAF8258,8258,2016-10-17,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,East London,-33.0153,27.9116,1,GroundUp,National,Hundreds of Walter Sisulu University students from the Buffalo City campus blocked Oxford Street today after a mass meeting.,0,1552577170,ZAF
9324,7522930,710,SAF8259,8259,2016-10-17,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,About 30 student protesters blocked Baxter Road outside the University of Cape Towns Tugwell and Leo Marquard residences. police then arrived and with private security blocked the entrance to the RW James building. Stun grenades and pepper spray were used to disperse the students by police.,0,1611019297,ZAF
9325,8009281,710,SAF8260,8260,2016-10-17,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,African News Agency,National,"There were two days of running battles where police used rubber bullets, teargas and stun grenades as they clashed with students at Westville campus of UKZN.",0,1622068027,ZAF
9327,5300340,710,SAF8256,8256,2016-10-14,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Gauteng,Sedibeng,Emfuleni,Vaal University of Technology,-26.7113,27.8627,1,News24 (South Africa),National,"Separately, police fired rubber bullets to disperse protesters at the Vanderbijlpark campus of the Vaal University of Technology",0,1561469250,ZAF
9329,7521027,710,SAF8254,8254,2016-10-14,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Civilians (South Africa),,7,57,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,AP,International,UCT says its vice-chancellor was assaulted by protesters after he met with them to discuss their demands for free university education.,0,1611019291,ZAF
9330,7524850,710,SAF8250,8250,2016-10-14,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,News24 (South Africa),National,Police warned people to avoid Braamfontein near Wits after cars were set alight or stoned by protesting students. Businesses were also damaged.,0,1611019302,ZAF
9333,8009283,710,SAF8251,8251,2016-10-14,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,News24 (South Africa),National,Part of an HIV/Aids clinic was torched at the University of KwaZulu-Natals Howard College campus as protesters change tactics to night battles.,0,1622068027,ZAF
9335,4786217,710,SAF8246,8246,2016-10-13,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Private Security Forces (South Africa),Police Forces of South Africa (1994-),8,58,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Tshwane University of Technology,-25.7322,28.1619,1,SABC News,National,A private security guard at Tshwane University of Technology has allegedly shot at a student with live ammunition during protest action. The protest descended into violence as police dispersed students with rubber bullets. The students retaliated by throwing stones and burning tires. A building was also burned.,0,1552577171,ZAF
9336,5300332,710,SAF8247,8247,2016-10-13,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,Sedibeng,Emfuleni,Vaal University of Technology,-26.7113,27.8627,1,News24 (South Africa),National,Clashes between students and police at the Vaal University of Technology took place. Students are throwing stones and petrol bombs at the police and they are retaliating with rubber bullets.,0,1561469250,ZAF
