,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9378,8009292,710,SAF8207,8207,2016-10-06,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,News24 (South Africa),National,Sporadic skirmishes between protesting students and police were reported at the University of KwaZulu-Natal's Pietermaritzburg campus.,0,1622068027,ZAF
9380,7521551,710,SAF8204,8204,2016-10-05,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,Cape Argus,Subnational,"Protest action continued at Cape Town universities with petrol bombs thrown, faeces flung around, lecture halls invaded and students who want to keep studying facing off with protesters.",0,1611019292,ZAF
9381,7521688,710,SAF8197,8197,2016-10-05,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,Cape Argus,Subnational,"At the Cape Peninsula University of Cape Town (CPUT), students dumped human waste at the security office at the Bellville campus in ongoing protests.",0,1611019292,ZAF
9382,7527318,710,SAF8198,8198,2016-10-05,2016,1,Riots,Mob violence,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,55,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,Star (South Africa),National,Two groups of students clashed at the University of Witwatersrandover whether or not to continue the academic year.,0,1611019334,ZAF
9383,7734554,710,SAF8202,8202,2016-10-05,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,Herald (South Africa); GroundUp,Subnational-National,"About 30 students from the #FeesMustFall movement were singing and dancing at the main entrance toNMMU university (Port Elizabeth) while a few metres away was a group of about 80 people from #OpenNMMU, including students and parents of students. Manwhile, security guards and cleaners marched to the Port Elizabeth City Hall, demanding higher salaries, better working conditions and the end of outsourcing.The marchers work for various companies in the city but declined to name them.",0,1615249504,ZAF
9384,8009293,710,SAF8199,8199,2016-10-05,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Cape Times,National,Six more students from the Durban University of Technology have been arrested. This after a group of approximately 30 students tried to disrupt classes at the ML Sultan campus.,0,1622068027,ZAF
9386,8566896,710,SAF8201,8201,2016-10-05,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Makhanda,-33.3042,26.5328,1,South African Police Service,Other,"A group of over 200 students blocked off all entrances to Rhodes campus and scattered medical syringes at the entrance at the corner of Prince Alfred and Somerset Streets. The group removed a trailer from the premises, overturned it at the Artillery Road entrance and set it alight.",0,1632782397,ZAF
9388,7524902,710,SAF8196,8196,2016-10-04,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,News24 (South Africa),National,"In ongoing protests at UCT, stun grenades and teargas were fired by police at UCT students set fires and tried to reoccupy the Steve Biko Students' Union building.",0,1611019302,ZAF
9389,7525034,710,SAF8193,8193,2016-10-04,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,News24 (South Africa),National,Police fired stun grenades to disperse protesting Wits University students near the institutions Solomon Mahlangu House,0,1611019302,ZAF
9391,4788189,710,SAF8185,8185,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Daily News (South Africa),National,"At CPUT a group of angry student protesters marched to the different faculties at the institution disrupting lectures.They forced their way into the business and mechanical engineering faculty, setting off the fire extinguishers inside the classes for students to vacate the lecture rooms.",0,1552577174,ZAF
9392,7518832,710,SAF8190,8190,2016-10-03,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,Star (South Africa); GroundUp,National,Protesters blocked the main entrances to the University of Cape Town (UCT). two students were arrested for blocking entrances to the university; intimidation and breach of an interdict that prohibits one of them from being on campus.,0,1611019285,ZAF
9393,7521844,710,SAF8189,8189,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Mowbray,-33.9333,18.4667,1,Cape Times,Subnational,"Universities in the Western Caperemain are on alert after protest action brought some campuses to a halt. Protesters shut down UWC and CPUTs Bellville, Mowbray campuses.",0,1611019293,ZAF
9394,7521952,710,SAF8183,8183,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,Cape Times,Subnational,"Universities in the Western Caperemain are on alert after protest action brought some campuses to a halt. Protesters shut down UWC and CPUTs Bellville, Mowbray campuses.",0,1611019293,ZAF
9396,7527194,710,SAF8184,8184,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,Sowetan (South Africa),National,Student at WITS in Johannesburg continued to protest over fee increaese.,0,1611019333,ZAF
9397,7527259,710,SAF8191,8191,2016-10-03,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Soweto,-26.2667,27.8667,1,Star (South Africa),National,"At the University of Johannesburgs Soweto campus, several students were arrested when they attempted to block entrances. They are being held at the Kliptown police station awaiting their appearance in court.",0,1611019333,ZAF
9398,8009296,710,SAF8186,8186,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Daily News (South Africa),National,Classes and tests were disrupted at the Durban University of Technology (DUT) as a small group of protesters forced students out of class.,0,1622068027,ZAF
9399,8009297,710,SAF8187,8187,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Glenwood,-29.8706,30.9887,1,Daily News (South Africa),National,"At the University of KwaZulu-Natal (UKZN), students gathered at the Westville and Howard College campuses before they were asked by the police to disperse.",0,1622068027,ZAF
9401,8424851,710,SAF8192,8192,2016-10-03,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,Daily News (South Africa),National,"At the University of KwaZulu-Natal (UKZN), students gathered at the Westville and Howard College campuses before they were asked by the police to disperse.",0,1629138398,ZAF
9403,8009300,710,SAF8181,8181,2016-10-01,2016,1,Riots,Mob violence,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),Private Security Forces (South Africa),1,15,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,News24 (South Africa),National,Four students were arrested for contravening court orders by inciting violence when throwing stones at security guards,0,1622068027,ZAF
9405,7523077,710,SAF8177,8177,2016-09-30,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,"Thousands of students and staff heeded a call to sit down for an hour and read in silence on the steps of the University of Cape Town (UCT) upper campus. A few minutes after the silent protest started, a group of about 100 #FeesMustFall protesters marched up the steps and stood in front of the bulk of the silent protesters.",0,1611019297,ZAF
9408,8009302,710,SAF8175,8175,2016-09-30,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Edendale,-29.6525,30.315,1,GroundUp,National,Protesting students at the Indumiso campus of the Durban University of Technology (DUT) in Pietermaritzburg blocked roads with stones and burning tyres.,0,1622068027,ZAF
9411,7734983,710,SAF8173,8173,2016-09-29,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,GroundUp,National,Student protesters from Nelson Mandela Metropolitan University (NMMU) walked through the streets of Port Elizabeth canvassing for moral support from residents,0,1615249506,ZAF
9412,8009304,710,SAF8172,8172,2016-09-29,2016,1,Riots,Mob violence,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Private Security Forces (South Africa),,8,58,Southern Africa,South Africa,KwaZulu-Natal,Uthungulu,uMhlathuze,KwaDlangezwa,-28.858,31.8411,1,African News Agency,National,A security guard has been left critically injured after being severely assaulted by students at the University of Zululand (UniZulu).,0,1622068027,ZAF
9413,8009305,710,SAF8170,8170,2016-09-29,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,African News Agency,National,About 100 students from the Durban University of Technology (DUT) staged a protest outside the Durban Magistrates Court on Thursday,0,1622068027,ZAF
9414,8566403,710,SAF8171,8171,2016-09-29,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Makhanda,-33.3042,26.5328,1,GroundUp,National,"Students at Rhodes University protested. Following their arrival on campus, police officers pepper-sprayed students in response to the disruption of a lecture",0,1632782396,ZAF
9415,5300279,710,SAF8164,8164,2016-09-28,2016,1,Riots,Mob violence,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Private Security Forces (South Africa),,8,58,Southern Africa,South Africa,Gauteng,West Rand,Merafong City,Doornfontein,-26.3949,27.3209,1,Star (South Africa),National,It was a chaotic day at the University of Johannesburg (UJ) (Doornsfontein) as students and private security clashed sporadically. Several students were pepper-sprayed and others were seen with cuts and bruises.,0,1561469250,ZAF
9418,7525031,710,SAF8167,8167,2016-09-28,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,News24 (South Africa),National,The University of Cape Town closed its campuses on Wednesday after a group of protesters allegedly 'intimidated and traumatised' university staff.,0,1611019302,ZAF
9419,7527230,710,SAF8163,8163,2016-09-28,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Auckland Park,-26.1814,28.0039,1,Star (South Africa),National,A large group of students gathered outside the main gate at the Auckland Park campus (UJ) but were barred from entering as security locked the gates.,0,1611019333,ZAF
9420,8009306,710,SAF8165,8165,2016-09-28,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,African News Agency,National,Students from the Durban University of Technology clashed with police for a second day in a row. Police had to use teargas and rubber bullets to disperse stone-throwing students.,0,1622068027,ZAF
9422,5741493,710,SAF8160,8160,2016-09-27,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Limpopo,Capricorn,Polokwane,Polokwane,-23.9045,29.4689,1,African News Agency,National,Running battles between students at the University of Limpopo's Mankweng campus (Polokwane) and the police have forced the university management to suspend lectures.,0,1567462123,ZAF
9423,7525028,710,SAF8162,8162,2016-09-27,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,News24 (South Africa),National,A group of protesters gathered at UCTs main campus.,0,1611019302,ZAF
9425,8423821,710,SAF8158,8158,2016-09-27,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Free State,Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,News24 (South Africa),National,"University of Technology students were arrested during a protest in which a group of about 300 students marched on Markgraff Street in Bloemfontein and vandalised road signs and municipal bins, said Marope.",0,1629138392,ZAF
9426,5300268,710,SAF8146,8146,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Free State,Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,News24 (South Africa),National,A handful of students protested on UFS campus in Bloemfontein while campus security monitored them.,0,1561469250,ZAF
9427,5741323,710,SAF8144,8144,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Arcadia,-25.7464,28.2214,1,African News Agency,National,"The protesting students also barricaded other TUT entrances at campuses including Arcadia, Soshanguve and GaRankuwa.",0,1567462123,ZAF
9429,5741398,710,SAF8157,8157,2016-09-26,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Tshwane University of Technology,-25.7322,28.1619,1,African News Agency,National,"Tshwane University of Technology (TUT) students shut down their campuses on Monday, joining their colleagues in other parts of South Africa demanding free higher education. tyres were burning at the main campus of the TUT.",0,1567462123,ZAF
9430,5741431,710,SAF8150,8150,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Ga-Rankuwa,-25.6169,27.9947,1,African News Agency,National,"The protesting students also barricaded other TUT entrances at campuses including Arcadia, Soshanguve and GaRankuwa.",0,1567462123,ZAF
9431,5741448,710,SAF8155,8155,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Soshanguve,-25.4729,28.0992,1,African News Agency,National,"The protesting students also barricaded other TUT entrances at campuses including Arcadia, Soshanguve and GaRankuwa.",0,1567462123,ZAF
9432,6310686,710,SAF8154,8154,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Sowetan (South Africa),National,Students marched on the streets of Pretoria as they demanded the shutdown of universities until the government declares higher education free.,0,1572403781,ZAF
9433,7522540,710,SAF8145,8145,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Auckland Park,-26.1814,28.0039,1,eNCA (South Africa),National,"At the University of Johannesburg, all entrances to the university's main campus in Auckland Park were closed as students joined the protests.",0,1611019295,ZAF
9434,7522552,710,SAF8156,8156,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Soweto,-26.2667,27.8667,1,EWN,National,Fees Must Fall protests spread to the University of Johannesburg's Kingsway (Auckland Park) and Soweto campuses.,0,1611019295,ZAF
9435,7525004,710,SAF8148,8148,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,News24 (South Africa),National,Wits students have marched toward Adam Habibs home as the protest against university fees escalates.,0,1611019302,ZAF
9436,8009308,710,SAF8153,8153,2016-09-26,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Daily News (South Africa); News24 (South Africa),National,"A fire tore through a residence at the University of KwaZulu-Natal's Pietermaritzburg campus. Later on, students barricaded the entrances to residences threw faeces at a test venue.",0,1622068027,ZAF
9437,8009309,710,SAF8149,8149,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,African News Agency,National,Students at the Durban University of Technology's campuses (Durban) engaged in marches on to call for the removal of fees.,0,1622068027,ZAF
9439,8009311,710,SAF8151,8151,2016-09-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Imbali,-29.6545,30.3506,1,African News Agency,National,Students at the Durban University of Technology's campuses (Pietermaritzburg - Imbali) engaged in marches on to call for the removal of fees.,0,1622068027,ZAF
9440,5300266,710,SAF8143,8143,2016-09-23,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,Cape Winelands,Stellenbosch,Stellenbosch,-33.9346,18.8668,1,News24 (South Africa),National,Over 1000 students marched around the University of Stellenbosch in good spirits on to drum up support for a campaign to scrap university fees and decolonise education.,0,1561469250,ZAF
9442,7735724,710,SAF8141,8141,2016-09-23,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,News24 (South Africa),National,"The Nelson Mandela Metropolitan University has again been forced to close its doors as protests took place. A small group of students once again barricaded the entrance to the main campus with upturned benches, pallets and burning tyres",0,1615249507,ZAF
9443,4790265,710,SAF8136,8136,2016-09-22,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,GroundUp,National,"A divided group of a few hundred protesters, some picketing against fees for higher education and some protesting the picket, gathered outside Parliament in Cape Town.",0,1552577176,ZAF
9444,7734970,710,SAF8140,8140,2016-09-22,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,GroundUp,National,Students from the Nelson Mandela Metropolitan University vowed to continue with the Fees Must Fall protest. They gathered at the Port Elizabeth Magistrates Court where nine students appeared in court.,0,1615249506,ZAF
9445,8009312,710,SAF8139,8139,2016-09-22,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,Daily Vox (South Africa); News24 (South Africa),National,"More than 500 protesting students clashed with riot police, and threw stones at a test venue at the campus. Police shot rubber bullets and released teargas on protesting students at the Malherbe residence on campus.",0,1622068027,ZAF
9446,8553765,710,SAF8138,8138,2016-09-22,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,North West,Ngaka Modiri Molema,Mafikeng,Mahikeng,-25.8556,25.6367,1,Times (South Africa),National,The North West University (NWU) has shut down its Mahikeng campus indefinitely Tuesday.,0,1632239612,ZAF
9447,8566401,710,SAF8137,8137,2016-09-22,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Makhanda,-33.3042,26.5328,1,GroundUp,National,Rhodes student protested at the university over fee increases.Tyres were burnt,0,1632782396,ZAF
9448,5300257,710,SAF8125,8125,2016-09-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Free State,Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,News24 (South Africa),National,A group of University of the Free State students marched to Motheo FET College in Bloemfontein to ask students there to join their fees protest.,0,1561469250,ZAF
9449,6120187,710,SAF8124,8124,2016-09-21,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Arcadia,-25.7464,28.2214,1,Pretoria News,Subnational,Minor protests were also reported at the Tshwane University of Technology's Arcadia campus. About 50 students at Tshwane University of Technology gathered at the Arcadia campus and burnt tyres at the main entrance.,0,1571164634,ZAF
9451,7211561,710,SAF8127,8127,2016-09-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Cape Times,Subnational,Student activists from UCT continued with the #FeesMustFall national shutdown yesterday by disrupting the universities Hiddingh campus.,0,1600121122,ZAF
9452,7525143,710,SAF8135,8135,2016-09-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,Pretoria News,National,"Students at the University of Cape Town continued to protest, while the institution's heath faculty made plans to hold a picket outside Parliament this afternoon.",0,1611019302,ZAF
9453,7525161,710,SAF8126,8126,2016-09-21,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,Pretoria News,Subnational,"Chaos reigned at Wits University as rocks and rubber bullets were exchanged between students and the police, who used stun grenades and tear gas in a bid to quell the protests",0,1611019303,ZAF
9454,7735708,710,SAF8133,8133,2016-09-21,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,Gqeberha,-33.918,25.5701,1,News24 (South Africa),National,A peaceful student march quickly turned into a confrontation with police at Nelson Mandela Metropolitan University. Students pushed back and a group at the back began hurling water bottles at police. Students blocked the road while 11 were arrested.,0,1615249507,ZAF
9456,8553766,710,SAF8131,8131,2016-09-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,North West,Ngaka Modiri Molema,Mafikeng,Mahikeng,-25.8556,25.6367,1,Times (South Africa),National,The North West University (NWU) has shut down its Mahikeng campus indefinitely Tuesday.,0,1632239612,ZAF
9457,8559507,710,SAF8128,8128,2016-09-21,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Amathole,Raymond Mhlaba,University of Fort Hare,-32.7831,26.8433,1,GroundUp,National,"Students at Fort Hare's Alice campus set a building alight last night, containing much of the university's equipment. This followed a mass meeting in which students did not agree with some of the resolutions presented by the university's management.",0,1632244575,ZAF
9459,8566352,710,SAF8129,8129,2016-09-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Sarah Baartman,Makana,Makhanda,-33.3042,26.5328,1,Daily Dispatch (South Africa),National,800 students were active as lectures were disrupted by protesters at Rhodes University.,0,1632782396,ZAF
9461,5300247,710,SAF8112,8112,2016-09-20,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Free State,Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,News24 (South Africa),National,The University of the Free State suspended all academic activities due to ongoing protests.,0,1561469250,ZAF
9462,5300256,710,SAF8123,8123,2016-09-20,2016,1,Riots,Mob violence,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Civilians (South Africa),,7,57,Southern Africa,South Africa,Western Cape,Cape Winelands,Stellenbosch,Stellenbosch,-33.9346,18.8668,1,News24 (South Africa),National,University of Stellenbosch students damaged property and assaulted fellow students and members of staff on Monday and Tuesday.,0,1561469250,ZAF
9464,6232819,710,SAF8110,8110,2016-09-20,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Arcadia,-25.7464,28.2214,1,Star (South Africa); Mercury (South Africa); Cape Argus,National,Students at the TUT Arcadia and Arts campuses shut down both campuses as they were against the possible fee increment,0,1572403612,ZAF
9465,6232823,710,SAF8121,8121,2016-09-20,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria West,-25.7484,28.154,1,Cape Argus; Star (South Africa); Mercury (South Africa),National,Students at the Pretoria West Campus shut down both campuses as they were against the possible fee increment,0,1572403612,ZAF
