,Label,Occurances,Frequency
0,Actors,5,8.33
1,Curiosity,0,0.0
2,Eventuality,0,0.0
3,Grievance,14,23.33
4,Location,35,58.33
5,Non-protest,1,1.67
6,Tactic,29,48.33
7,Trigger,7,11.67
8,Weapons,0,0.0
