place_id,place_name,coords,geometry
{'place_id': '1465fdb4074020c2'},"Germiston, South Africa","[28.119808, -26.3203251, 28.240063, -26.137332]",POINT (28.1799355 -26.228828550000003)
{'place_id': '7efc470da463c9f0'},"Soweto, South Africa","[27.7947598, -26.3054355, 27.9557837, -26.2074073]",POINT (27.875271750000007 -26.2564214)
{'place_id': '52e073e7724385c3'},"Pietermaritzburg, South Africa","[30.2563496, -29.6999989, 30.4512134, -29.5328007]",POINT (30.3537815 -29.6163998)
"{'place_id': 'f1b64d284eaca351', 'coordinates': {'type': 'Point', 'coordinates': [18.65856171, -34.03388358]}}","Khayelitsha, South Africa","[18.631212, -34.0755934, 18.7404412, -34.0037497]",POINT (18.6858266 -34.03967155)
{'place_id': '4a557ea13daa81fd'},"Elangeni, South Africa","[30.6462257, -29.8202461, 30.7144755, -29.7578072]",POINT (30.680350599999993 -29.789026649999997)
{'place_id': '6a80af5c6944ba09'},"KwaNomzamo, South Africa","[24.7698612, -34.0464211, 24.7869396, -34.0345867]",POINT (24.778400400000006 -34.040503900000004)
{'place_id': 'd98aef293ae7311d'},"Kempton Park, South Africa","[28.1581593, -26.1689943, 28.3280005, -26.0027295]",POINT (28.2430799 -26.0858619)
"{'place_id': '3531e62c4c090352', 'coordinates': {'type': 'Point', 'coordinates': [30.89644344, -29.8349325]}}","Pinetown, South Africa","[30.7168107, -29.897401, 30.9115717, -29.7774201]",POINT (30.8141912 -29.83741055)
{'place_id': '5ccdc4a6f900a93f'},"Milnerton, South Africa","[18.4350199, -33.9208993, 18.5572133, -33.7259229]",POINT (18.4961166 -33.8234111)
{'place_id': '3c3927904eaceaa2'},"Umlazi, South Africa","[30.8259955, -30.0121548, 30.9453829, -29.9306007]",POINT (30.885689199999998 -29.97137775)
{'place_id': '2e623eac9401669f'},"Mthatha, South Africa","[28.7082667, -31.6597153, 28.8377317, -31.541546]",POINT (28.7729992 -31.60063065)
{'place_id': '50b3deffa469c1b6'},"Hammanskraal, South Africa","[28.26134, -25.4185684, 28.3157118, -25.3825535]",POINT (28.2885259 -25.40056095)
{'place_id': 'e0fd79e0d0ed045f'},"Phuthaditjhaba, South Africa","[28.7554124, -28.5647011, 28.8761408, -28.460506]",POINT (28.8157766 -28.512603549999998)
{'place_id': '65246f89990cd015'},"Vanderbijlpark, South Africa","[27.6730851, -26.7995128, 27.8926006, -26.6050833]",POINT (27.78284285 -26.70229805)
{'place_id': 'f1cdbc8568f9d5c0'},"Mitchell's Plain, South Africa","[18.5210965, -34.1389927, 18.6702076, -33.9970032]",POINT (18.595652049999998 -34.067997950000006)
{'place_id': 'ca5bebb3cd9ef464'},"Nongoma, South Africa","[31.6291527, -27.9339833, 31.6731125, -27.8672481]",POINT (31.651132599999993 -27.900615700000007)
{'place_id': '60b970f02ca5668e'},"Evaton, South Africa","[27.8069981, -26.5596636, 27.9088045, -26.4962497]",POINT (27.8579013 -26.52795665)
{'place_id': '9cda010421ff8134'},"Piet Retief, South Africa","[30.7567812, -27.0719729, 30.8797459, -26.9595798]",POINT (30.818263549999998 -27.01577635)
"{'place_id': 'cc95b56a28712044', 'coordinates': {'type': 'Point', 'coordinates': [28.20239258, -25.86305528]}}","Centurion, South Africa","[28.0010585, -25.9448996, 28.2712217, -25.7768617]",POINT (28.1361401 -25.860880649999995)
{'place_id': 'f46102f64b68e431'},"Tembisa, South Africa","[28.1798618, -26.0358262, 28.2543163, -25.9592972]",POINT (28.21708905 -25.997561699999995)
{'place_id': 'f8a82bd4edcb1ca7'},"Atteridgeville, South Africa","[28.0180608, -25.8002531, 28.0991426, -25.7593954]",POINT (28.058601700000004 -25.77982425)
{'place_id': '77f7184aca0f1561'},"Kwa-Thema, South Africa","[28.3805645, -26.3250303, 28.4271836, -26.2768397]",POINT (28.40387405 -26.300935000000003)
{'place_id': '0e428116fe291283'},"Port Elizabeth, South Africa","[25.406293, -34.0504982, 25.7043392, -33.7646257]",POINT (25.5553161 -33.90756195)
"{'place_id': '42dfd07e3a20e0ee', 'coordinates': {'type': 'Point', 'coordinates': [18.69132, -33.89327]}}","Brackenfell, South Africa","[18.6705652, -33.9098713, 18.7487481, -33.85319]",POINT (18.70965665 -33.88153065)
{'place_id': '10a589c27fc19a4c'},"Stellenbosch, South Africa","[18.6844903, -34.0629343, 18.9821984, -33.7933616]",POINT (18.83334435 -33.928147949999996)
{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa","[26.0019056, -29.2319585, 26.4243136, -28.9812176]",POINT (26.213109600000003 -29.10658805)
{'place_id': '1b1067d583d61a5b'},"Embalenhle, South Africa","[29.0552723, -26.5732297, 29.1060421, -26.522493]",POINT (29.080657199999997 -26.547861349999998)
{'place_id': '361333be7544d77e'},"Sebokeng, South Africa","[27.8039233, -26.6162142, 27.8897333, -26.5198666]",POINT (27.8468283 -26.5680404)
{'place_id': '1b88a6ba7f333607'},"Alexandra, South Africa","[28.0850956, -26.1162383, 28.1248506, -26.0879582]",POINT (28.104973099999995 -26.102098249999994)
{'place_id': '95279ce91fbb09fe'},"Orange Farm, South Africa","[27.8224815, -26.5223581, 27.886833, -26.4408042]",POINT (27.85465725 -26.48158115)
"{'place_id': '046e502f3c4e0e3b', 'coordinates': {'type': 'Point', 'coordinates': [31.11398, -29.57421]}}","Tongaat, South Africa","[30.9140819, -29.7180166, 31.1842265, -29.5006541]",POINT (31.0491542 -29.60933535)
{'place_id': '957671b8d0b29291'},"Libode, South Africa","[29.0012139, -31.5499794, 29.0389714, -31.5229533]",POINT (29.020092650000002 -31.53646635)
{'place_id': 'db8a85083b631e4f'},"Parow, South Africa","[18.5572133, -33.944865, 18.6229821, -33.8575372]",POINT (18.5900977 -33.9012011)
{'place_id': '07d9d2f78a082000'},Lagoon Beach Hotel,"[18.482445356408547, -33.8921899771852, 18.482445356408547, -33.8921899771852]",POINT (18.482445356408547 -33.8921899771852)
{'place_id': '824bcfd389683242'},"Rustenburg, South Africa","[27.1197682, -25.8175774, 27.3357315, -25.5893772]",POINT (27.227749850000002 -25.703477300000003)
"{'place_id': '6444d281acdd5f98', 'coordinates': {'type': 'Point', 'coordinates': [18.6975, -34.0]}}","Blue Downs, South Africa","[18.6247796, -34.0124945, 18.7273138, -33.9480826]",POINT (18.6760467 -33.98028855)
{'place_id': '18a5af20d83147ad'},"Hartswater, South Africa","[24.7797382, -27.7781041, 24.8515132, -27.7125821]",POINT (24.8156257 -27.7453431)
{'place_id': '07d9eb15d6484000'},Langa Township,"[18.52780859558085, -33.94727521310813, 18.52780859558085, -33.94727521310813]",POINT (18.52780859558085 -33.94727521310813)
{'place_id': 'a2ba9514c7b23daa'},"Richard's Bay, South Africa","[31.9704705, -28.8264237, 32.1442604, -28.6994881]",POINT (32.05736545 -28.762955900000005)
{'place_id': '1d9b85f4cd86b224'},"Bellville, South Africa","[18.589352, -33.9412227, 18.6772826, -33.8393269]",POINT (18.6333173 -33.8902748)
{'place_id': '6444d281acdd5f98'},"Blue Downs, South Africa","[18.6247796, -34.0124945, 18.7273138, -33.9480826]",POINT (18.6760467 -33.98028855)
"{'place_id': '8b9ec16fdc0d7e55', 'coordinates': {'type': 'Point', 'coordinates': [18.42109072, -33.9196302]}}","Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
{'place_id': 'a6de57f8441398d4'},"Soshanguve, South Africa","[28.0390226, -25.6078888, 28.1503403, -25.367145]",POINT (28.09468145 -25.487516900000003)
{'place_id': '08cf288c7b54f834'},"Kloof, South Africa","[30.7630204, -29.8228068, 30.8910911, -29.7185395]",POINT (30.827055750000003 -29.77067315)
{'place_id': 'b4768548f821494f'},"Kwadabeka, South Africa","[30.8796534, -29.7873399, 30.937885, -29.7549458]",POINT (30.9087692 -29.77114285)
{'place_id': '648379af0c223f3b'},"Qiniselani Manyuswa, South Africa","[30.7103606, -29.714675, 30.8091416, -29.6276872]",POINT (30.759751100000006 -29.6711811)
