,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8978,4752270,710,SAF8593,8593,2017-03-08,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,East London,-33.0153,27.9116,1,Daily Dispatch (South Africa),National,Hundreds of students demonstrated outside their East London campus over student issues.,0,1552577101,ZAF
8986,8553654,710,SAF8589,8589,2017-03-07,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Mpumalanga,Ehlanzeni,City of Mbombela,Barberton,-25.7884,31.0532,1,News24 (South Africa),National,Mpumalanga's department of education has condemned the actions of protesters in Barberton who reportedly forced pupils at six schools in Emjindini to join them.,0,1632239612,ZAF
8989,7522934,710,SAF8587,8587,2017-03-06,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Philippi,-34.0167,18.55,1,GroundUp,National,About 150 students from Philippi High School marched to the Metro South Education District Office demanding that a new school they say was promised to them be built.,0,1611019297,ZAF
9004,7523127,710,SAF8575,8575,2017-03-01,2017,1,Protests,Protest with intervention,Protesters (South Africa),Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Khayelitsha,-34.0393,18.6792,1,GroundUp,National,Student protests started at iQhayiya High School in Khayelitsha. Stun grenades were fired when the protesting students attempted to enter the school grounds.,0,1611019297,ZAF
9036,8009237,710,SAF8542,8542,2017-02-16,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Times (South Africa),National,Nearly 100 Durban University of Technology students slept on the steps of the Vice Chancellor's office as a housing crisis enters its,0,1622068027,ZAF
9039,8559418,710,SAF8538,8538,2017-02-15,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Amathole,Raymond Mhlaba,Alice,-32.7875,26.8344,2,GroundUp,National,Pupils blocked the road between Alice (near Alice) and King William's Town after a wall at their school collapsed.,0,1632244574,ZAF
9041,4758599,710,SAF8532,8532,2017-02-14,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Amathole,Mnquma,Butterworth,-32.3333,28.15,1,Sowetan (South Africa),Subnational,Students at Walter Sisulu University's Ibika campus in Butterworth protested and halted the registration process after they forcibly removed staff from the premises.,0,1552577108,ZAF
9042,5921186,710,SAF8536,8536,2017-02-14,2017,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria West,-25.7484,28.154,1,News24 (South Africa),National,"A shortage of accommodation, which has forced some students to sleep on benches or squat in packed residences, sparked a protest at the Tshwane University of Technology (TUT). Management closed the main campus in Pretoria West, after students blocked the entrance with burning tyres.",0,1567465433,ZAF
9075,5300520,710,SAF8499,8499,2017-02-07,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,Chiselhurst,-32.9833,27.8833,1,GroundUp,National,Several protests at Walter Sisulu Campuses in East London forced. campuses to shut down: Chiselhurst Campus,0,1561469250,ZAF
9077,5300524,710,SAF8503,8503,2017-02-07,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,Potsdam,-32.9167,27.7,1,GroundUp,National,Several protests at Walter Sisulu Campuses in East London forced campuses to shut down: Potsdam Campus,0,1561469250,ZAF
